Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS6.Con.24.2,Child_6,Nonconverter,No Treatment,24,2,20210125_ex20_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.24.3,Child_6,Nonconverter,No Treatment,24,3,20210125_ex21_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.36.1,Child_6,Nonconverter,No Treatment,36,1,20210125_ex28_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.36.2,Child_6,Nonconverter,No Treatment,36,2,20210125_ex29_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.36.3,Child_6,Nonconverter,No Treatment,36,3,20210125_ex30_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.48.1,Child_6,Nonconverter,No Treatment,48,1,20210125_ex37_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.48.2,Child_6,Nonconverter,No Treatment,48,2,20210125_ex38_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.48.3,Child_6,Nonconverter,No Treatment,48,3,20210125_ex39_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.60.1,Child_6,Nonconverter,No Treatment,60,1,20210125_ex46_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.60.2,Child_6,Nonconverter,No Treatment,60,2,20210125_ex47_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.60.3,Child_6,Nonconverter,No Treatment,60,3,20210125_ex48_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.0.1,Child_6,Nonconverter,pHMOs,0,1,20210125_ex7_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.0.2,Child_6,Nonconverter,pHMOs,0,2,20210125_ex8_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.0.3,Child_6,Nonconverter,pHMOs,0,3,20210125_ex9_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.12.1,Child_6,Nonconverter,pHMOs,12,1,20210125_ex16_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.12.2,Child_6,Nonconverter,pHMOs,12,2,20210125_ex17_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.12.3,Child_6,Nonconverter,pHMOs,12,3,20210125_ex18_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.24.1,Child_6,Nonconverter,pHMOs,24,1,20210125_ex25_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.24.2,Child_6,Nonconverter,pHMOs,24,2,20210125_ex26_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.24.3,Child_6,Nonconverter,pHMOs,24,3,20210125_ex27_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.36.1,Child_6,Nonconverter,pHMOs,36,1,20210125_ex34_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.36.2,Child_6,Nonconverter,pHMOs,36,2,20210125_ex35_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.36.3,Child_6,Nonconverter,pHMOs,36,3,20210125_ex36_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.48.1,Child_6,Nonconverter,pHMOs,48,1,20210125_ex43_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.48.2,Child_6,Nonconverter,pHMOs,48,2,20210125_ex44_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.48.3,Child_6,Nonconverter,pHMOs,48,3,20210125_ex45_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.60.1,Child_6,Nonconverter,pHMOs,60,1,20210125_ex52_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.60.2,Child_6,Nonconverter,pHMOs,60,2,20210125_ex53_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.60.3,Child_6,Nonconverter,pHMOs,60,3,20210125_ex54_p1.cnx,,,,,,,,,p1.cnx
S2.2FL.0.1,Child_2,Seroconverter,2FL,0,1,SR_20201202_ex1034_p1.cnx,,,,,,,,,
S2.2FL.0.2,Child_2,Seroconverter,2FL,0,2,SR_20201202_ex35_p1.cnx,,,,,,,,,
S2.2FL.0.3,Child_2,Seroconverter,2FL,0,3,SR_20201202_ex36_p1.cnx,,,,,,,,,
S2.2FL.12.1,Child_2,Seroconverter,2FL,12,1,SR_20201202_ex43_p1.cnx,,,,,,,,,
S2.2FL.12.2,Child_2,Seroconverter,2FL,12,2,SR_20201202_ex44_p1.cnx,,,,,,,,,
S2.2FL.12.3,Child_2,Seroconverter,2FL,12,3,SR_20201202_ex45_p1.cnx,,,,,,,,,
S2.2FL.24.1,Child_2,Seroconverter,2FL,24,1,SR_20201209_ex4_p1.cnx,,,,,,,,,
S2.2FL.24.2,Child_2,Seroconverter,2FL,24,2,SR_20201209_ex5_p1.cnx,,,,,,,,,
S2.2FL.24.3,Child_2,Seroconverter,2FL,24,3,SR_20201209_ex6_p1.cnx,,,,,,,,,
S2.2FL.36.1,Child_2,Seroconverter,2FL,36,1,SR_20201209_ex13_p1.cnx,,,,,,,,,
S2.2FL.36.2,Child_2,Seroconverter,2FL,36,2,SR_20201209_ex14_p1.cnx,,,,,,,,,
S2.2FL.36.3,Child_2,Seroconverter,2FL,36,3,SR_20201209_ex15_p1.cnx,,,,,,,,,
S2.2FL.48.1,Child_2,Seroconverter,2FL,48,1,SR_20201209_ex22_p1.cnx,,,,,,,,,
S2.2FL.48.2,Child_2,Seroconverter,2FL,48,2,SR_20201209_ex23_p1.cnx,,,,,,,,,
S2.2FL.48.3,Child_2,Seroconverter,2FL,48,3,SR_20201209_ex24_p1.cnx,,,,,,,,,
S2.2FL.60.1,Child_2,Seroconverter,2FL,60,1,SR_20201209_ex31_p1.cnx,,,,,,,,,
S2.2FL.60.2,Child_2,Seroconverter,2FL,60,2,SR_20201209_ex32_p1.cnx,,,,,,,,,
S2.2FL.60.3,Child_2,Seroconverter,2FL,60,3,SR_20201209_ex1033_p1.cnx,,,,,,,,,
S2.Con.0.1,Child_2,Seroconverter,No Treatment,0,1,SR_20201202_ex31_p1.cnx,,,,,,,,,
S2.Con.0.2,Child_2,Seroconverter,No Treatment,0,2,SR_20201202_ex32_p1.cnx,,,,,,,,,
S2.Con.0.3,Child_2,Seroconverter,No Treatment,0,3,SR_20201202_ex33_p1.cnx,,,,,,,,,
S2.Con.12.1,Child_2,Seroconverter,No Treatment,12,1,SR_20201202_ex40_p1.cnx,,,,,,,,,
S2.Con.12.2,Child_2,Seroconverter,No Treatment,12,2,SR_20201202_ex41_p1.cnx,,,,,,,,,
S2.Con.12.3,Child_2,Seroconverter,No Treatment,12,3,SR_20201202_ex42_p1.cnx,,,,,,,,,
S2.Con.24.1,Child_2,Seroconverter,No Treatment,24,1,SR_20201209_ex1_p1.cnx,,,,,,,,,
S2.Con.24.2,Child_2,Seroconverter,No Treatment,24,2,SR_20201209_ex2_p1.cnx,,,,,,,,,
S2.Con.24.3,Child_2,Seroconverter,No Treatment,24,3,SR_20201209_ex3_p1.cnx,,,,,,,,,
S2.Con.36.1,Child_2,Seroconverter,No Treatment,36,1,SR_20201209_ex10_p1.cnx,,,,,,,,,
S2.Con.36.2,Child_2,Seroconverter,No Treatment,36,2,SR_20201209_ex11_p1.cnx,,,,,,,,,
S2.Con.36.3,Child_2,Seroconverter,No Treatment,36,3,SR_20201209_ex12_p1.cnx,,,,,,,,,
S2.Con.48.1,Child_2,Seroconverter,No Treatment,48,1,SR_20201209_ex19_p1.cnx,,,,,,,,,
S2.Con.48.2,Child_2,Seroconverter,No Treatment,48,2,SR_20201209_ex20_p1.cnx,,,,,,,,,
S2.Con.48.3,Child_2,Seroconverter,No Treatment,48,3,SR_20201209_ex21_p1.cnx,,,,,,,,,
S2.Con.60.1,Child_2,Seroconverter,No Treatment,60,1,SR_20201209_ex28_p1.cnx,,,,,,,,,
S2.Con.60.2,Child_2,Seroconverter,No Treatment,60,2,SR_20201209_ex29_p1.cnx,,,,,,,,,
S2.Con.60.3,Child_2,Seroconverter,No Treatment,60,3,SR_20201209_ex30_p1.cnx,,,,,,,,,
S2.pHMO.0.1,Child_2,Seroconverter,pHMOs,0,1,SR_20201202_ex37_p1.cnx,,,,,,,,,
S2.pHMO.0.2,Child_2,Seroconverter,pHMOs,0,2,SR_20201202_ex38_p1.cnx,,,,,,,,,
S2.pHMO.0.3,Child_2,Seroconverter,pHMOs,0,3,SR_20201202_ex39_p1.cnx,,,,,,,,,
S2.pHMO.12.1,Child_2,Seroconverter,pHMOs,12,1,SR_20201202_ex46_p1.cnx,,,,,,,,,
S2.pHMO.12.2,Child_2,Seroconverter,pHMOs,12,2,SR_20201202_ex47_p1.cnx,,,,,,,,,
S2.pHMO.12.3,Child_2,Seroconverter,pHMOs,12,3,SR_20201202_ex48_p1.cnx,,,,,,,,,
S2.pHMO.24.1,Child_2,Seroconverter,pHMOs,24,1,SR_20201209_ex7_p1.cnx,,,,,,,,,
S2.pHMO.24.2,Child_2,Seroconverter,pHMOs,24,2,SR_20201209_ex8_p1.cnx,,,,,,,,,
S2.pHMO.24.3,Child_2,Seroconverter,pHMOs,24,3,SR_20201209_ex9_p1.cnx,,,,,,,,,
S2.pHMO.36.1,Child_2,Seroconverter,pHMOs,36,1,SR_20201209_ex16_p1.cnx,,,,,,,,,
S2.pHMO.36.2,Child_2,Seroconverter,pHMOs,36,2,SR_20201209_ex17_p1.cnx,,,,,,,,,
S2.pHMO.36.3,Child_2,Seroconverter,pHMOs,36,3,SR_20201209_ex18_p1.cnx,,,,,,,,,
S2.pHMO.48.1,Child_2,Seroconverter,pHMOs,48,1,SR_20201209_ex1025_p1.cnx,,,,,,,,,
S2.pHMO.48.2,Child_2,Seroconverter,pHMOs,48,2,SR_20201209_ex26_p1.cnx,,,,,,,,,
S2.pHMO.48.3,Child_2,Seroconverter,pHMOs,48,3,SR_20201209_ex27_p1.cnx,,,,,,,,,
S2.pHMO.60.1,Child_2,Seroconverter,pHMOs,60,1,SR_20201209_ex34_p1.cnx,,,,,,,,,
S2.pHMO.60.2,Child_2,Seroconverter,pHMOs,60,2,SR_20201209_ex35_p1.cnx,,,,,,,,,
S2.pHMO.60.3,Child_2,Seroconverter,pHMOs,60,3,SR_20201209_ex36_p1.cnx,,,,,,,,,
S3.2FL.0.1,Child_3,Seroconverter,2FL,0,1,SR_20201215_ex1031_p1.cnx,,,,,,,,,
S3.2FL.0.2,Child_3,Seroconverter,2FL,0,2,SR_20201215_ex1032_p1.cnx,,,,,,,,,
S3.2FL.0.3,Child_3,Seroconverter,2FL,0,3,SR_20201215_ex33_p1.cnx,,,,,,,,,
S3.2FL.12.1,Child_3,Seroconverter,2FL,12,1,SR_20201215_ex1040_p1.cnx,,,,,,,,,
S3.2FL.12.2,Child_3,Seroconverter,2FL,12,2,SR_20201215_ex41_p1.cnx,,,,,,,,,
S3.2FL.12.3,Child_3,Seroconverter,2FL,12,3,SR_20201215_ex1042_p1.cnx,,,,,,,,,
S3.2FL.24.1,Child_3,Seroconverter,2FL,24,1,SR_20201216_ex1028_p1.cnx,,,,,,,,,
S3.2FL.24.2,Child_3,Seroconverter,2FL,24,2,SR_20201216_ex29_p1.cnx,,,,,,,,,
S3.2FL.24.3,Child_3,Seroconverter,2FL,24,3,SR_20201216_ex30_p1.cnx,,,,,,,,,
S3.2FL.36.1,Child_3,Seroconverter,2FL,36,1,SR_20201216_ex37_p1.cnx,,,,,,,,,
S3.2FL.36.2,Child_3,Seroconverter,2FL,36,2,SR_20201216_ex38_p1.cnx,,,,,,,,,
S3.2FL.36.3,Child_3,Seroconverter,2FL,36,3,SR_20201216_ex1039_p1.cnx,,,,,,,,,
S3.2FL.48.1,Child_3,Seroconverter,2FL,48,1,SR_20201217_ex19_p1.cnx,,,,,,,,,
S3.2FL.48.2,Child_3,Seroconverter,2FL,48,2,SR_20201217_ex20_p1.cnx,,,,,,,,,
S3.2FL.48.3,Child_3,Seroconverter,2FL,48,3,SR_20201217_ex21_p1.cnx,,,,,,,,,
S3.2FL.60.1,Child_3,Seroconverter,2FL,60,1,SR_20201217_ex28_p1.cnx,,,,,,,,,
S3.2FL.60.2,Child_3,Seroconverter,2FL,60,2,SR_20201217_ex29_p1.cnx,,,,,,,,,
S3.2FL.60.3,Child_3,Seroconverter,2FL,60,3,SR_20201217_ex30_p1.cnx,,,,,,,,,
S3.Con.0.1,Child_3,Seroconverter,No Treatment,0,1,SR_20201215_ex34_p1.cnx,,,,,,,,,
S3.Con.0.2,Child_3,Seroconverter,No Treatment,0,2,SR_20201215_ex1035_p1.cnx,,,,,,,,,
S3.Con.0.3,Child_3,Seroconverter,No Treatment,0,3,SR_20201215_ex36_p1.cnx,,,,,,,,,
S3.Con.12.1,Child_3,Seroconverter,No Treatment,12,1,SR_20201215_ex43_p1.cnx,,,,,,,,,
S3.Con.12.2,Child_3,Seroconverter,No Treatment,12,2,SR_20201215_ex44_p1.cnx,,,,,,,,,
S3.Con.12.3,Child_3,Seroconverter,No Treatment,12,3,SR_20201215_ex1045_p1.cnx,,,,,,,,,
S3.Con.24.1,Child_3,Seroconverter,No Treatment,24,1,SR_20201216_ex31_p1.cnx,,,,,,,,,
S3.Con.24.2,Child_3,Seroconverter,No Treatment,24,2,SR_20201216_ex32_p1.cnx,,,,,,,,,
S3.Con.24.3,Child_3,Seroconverter,No Treatment,24,3,SR_20201216_ex33_p1.cnx,,,,,,,,,
S3.Con.36.1,Child_3,Seroconverter,No Treatment,36,1,SR_20201216_ex40_p1.cnx,,,,,,,,,
S3.Con.36.2,Child_3,Seroconverter,No Treatment,36,2,SR_20201216_ex41_p1.cnx,,,,,,,,,
S3.Con.36.3,Child_3,Seroconverter,No Treatment,36,3,SR_20201216_ex42_p1.cnx,,,,,,,,,
S3.Con.48.1,Child_3,Seroconverter,No Treatment,48,1,SR_20201217_ex22_p1.cnx,,,,,,,,,
S3.Con.48.2,Child_3,Seroconverter,No Treatment,48,2,SR_20201217_ex23_p1.cnx,,,,,,,,,
S3.Con.48.3,Child_3,Seroconverter,No Treatment,48,3,SR_20201217_ex24_p1.cnx,,,,,,,,,
S3.Con.60.1,Child_3,Seroconverter,No Treatment,60,1,SR_20201217_ex31_p1.cnx,,,,,,,,,
S3.Con.60.2,Child_3,Seroconverter,No Treatment,60,2,SR_20201217_ex32_p1.cnx,,,,,,,,,
S3.Con.60.3,Child_3,Seroconverter,No Treatment,60,3,SR_20201217_ex33_p1.cnx,,,,,,,,,
S3.pHMO.0.1,Child_3,Seroconverter,pHMOs,0,1,SR_20201215_ex37_p1.cnx,,,,,,,,,
S3.pHMO.0.2,Child_3,Seroconverter,pHMOs,0,2,SR_20201215_ex38_p1.cnx,,,,,,,,,
S3.pHMO.0.3,Child_3,Seroconverter,pHMOs,0,3,SR_20201215_ex39_p1.cnx,,,,,,,,,
S3.pHMO.12.1,Child_3,Seroconverter,pHMOs,12,1,SR_20201215_ex1046_p1.cnx,,,,,,,,,
S3.pHMO.12.2,Child_3,Seroconverter,pHMOs,12,2,SR_20201215_ex1047_p1.cnx,,,,,,,,,
S3.pHMO.12.3,Child_3,Seroconverter,pHMOs,12,3,SR_20201215_ex48_p1.cnx,,,,,,,,,
S3.pHMO.24.1,Child_3,Seroconverter,pHMOs,24,1,SR_20201216_ex34_p1.cnx,,,,,,,,,
S3.pHMO.24.2,Child_3,Seroconverter,pHMOs,24,2,SR_20201216_ex1035_p1.cnx,,,,,,,,,
S3.pHMO.24.3,Child_3,Seroconverter,pHMOs,24,3,SR_20201216_ex1036_p1.cnx,,,,,,,,,
S3.pHMO.36.1,Child_3,Seroconverter,pHMOs,36,1,SR_20201216_ex43_p1.cnx,,,,,,,,,
S3.pHMO.36.2,Child_3,Seroconverter,pHMOs,36,2,SR_20201216_ex1044_p1.cnx,,,,,,,,,
S3.pHMO.36.3,Child_3,Seroconverter,pHMOs,36,3,SR_20201216_ex1045_p1.cnx,,,,,,,,,
S3.pHMO.48.1,Child_3,Seroconverter,pHMOs,48,1,SR_20201217_ex25_p1.cnx,,,,,,,,,
S3.pHMO.48.2,Child_3,Seroconverter,pHMOs,48,2,SR_20201217_ex1026_p1.cnx,,,,,,,,,
S3.pHMO.48.3,Child_3,Seroconverter,pHMOs,48,3,SR_20201217_ex27_p1.cnx,,,,,,,,,
S3.pHMO.60.1,Child_3,Seroconverter,pHMOs,60,1,SR_20201217_ex34_p1.cnx,,,,,,,,,
S3.pHMO.60.2,Child_3,Seroconverter,pHMOs,60,2,SR_20201217_ex1035_p1.cnx,,,,,,,,,
S3.pHMO.60.3,Child_3,Seroconverter,pHMOs,60,3,SR_20201217_ex36_p1.cnx,,,,,,,,,
S5.2FL.0.1,Child_5,Seroconverter,2FL,0,1,SR_20210128_ex4_p1.cnx,,,,,,,,,
S5.2FL.0.2,Child_5,Seroconverter,2FL,0,2,SR_20210128_ex5_p1.cnx,,,,,,,,,
S5.2FL.0.3,Child_5,Seroconverter,2FL,0,3,SR_20210128_ex6_p1.cnx,,,,,,,,,
S5.2FL.12.1,Child_5,Seroconverter,2FL,12,1,SR_20210128_ex13_p1.cnx,,,,,,,,,
S5.2FL.12.2,Child_5,Seroconverter,2FL,12,2,SR_20210128_ex14_p1.cnx,,,,,,,,,
S5.2FL.12.3,Child_5,Seroconverter,2FL,12,3,SR_20210128_ex15_p1.cnx,,,,,,,,,
S5.2FL.24.1,Child_5,Seroconverter,2FL,24,1,SR_20210128_ex22_p1.cnx,,,,,,,,,
S5.2FL.24.2,Child_5,Seroconverter,2FL,24,2,SR_20210128_ex23_p1.cnx,,,,,,,,,
S5.2FL.24.3,Child_5,Seroconverter,2FL,24,3,SR_20210128_ex24_p1.cnx,,,,,,,,,
S5.2FL.36.1,Child_5,Seroconverter,2FL,36,1,SR_20210128_ex40_p1.cnx,,,,,,,,,
S5.2FL.36.2,Child_5,Seroconverter,2FL,36,2,SR_20210128_ex41_p1.cnx,,,,,,,,,
S5.2FL.36.3,Child_5,Seroconverter,2FL,36,3,SR_20210128_ex42_p1.cnx,,,,,,,,,
S5.2FL.48.1,Child_5,Seroconverter,2FL,48,1,SR_20210128_ex31_p1.cnx,,,,,,,,,
S5.2FL.48.2,Child_5,Seroconverter,2FL,48,2,SR_20210128_ex32_p1.cnx,,,,,,,,,
S5.2FL.48.3,Child_5,Seroconverter,2FL,48,3,SR_20210128_ex33_p1.cnx,,,,,,,,,
S5.2FL.60.1,Child_5,Seroconverter,2FL,60,1,SR_20210128-C_ex49_p1.cnx,,,,,,,,,
S5.2FL.60.2,Child_5,Seroconverter,2FL,60,2,SR_20210128-C_ex50_p1.cnx,,,,,,,,,
S5.2FL.60.3,Child_5,Seroconverter,2FL,60,3,SR_20210128-C_ex51_p1.cnx,,,,,,,,,
S5.Con.0.1,Child_5,Seroconverter,No Treatment,0,1,SR_20210128_ex1_p1.cnx,,,,,,,,,
S5.Con.0.2,Child_5,Seroconverter,No Treatment,0,2,SR_20210128_ex2_p1.cnx,,,,,,,,,
S5.Con.0.3,Child_5,Seroconverter,No Treatment,0,3,SR_20210128_ex3_p1.cnx,,,,,,,,,
S5.Con.12.1,Child_5,Seroconverter,No Treatment,12,1,SR_20210128_ex10_p1.cnx,,,,,,,,,
S5.Con.12.2,Child_5,Seroconverter,No Treatment,12,2,SR_20210128_ex11_p1.cnx,,,,,,,,,
S5.Con.12.3,Child_5,Seroconverter,No Treatment,12,3,SR_20210128_ex12_p1.cnx,,,,,,,,,
S5.Con.24.1,Child_5,Seroconverter,No Treatment,24,1,SR_20210128_ex19_p1.cnx,,,,,,,,,
S5.Con.24.2,Child_5,Seroconverter,No Treatment,24,2,SR_20210128_ex1020_p1.cnx,,,,,,,,,
S5.Con.24.3,Child_5,Seroconverter,No Treatment,24,3,SR_20210128_ex21_p1.cnx,,,,,,,,,
S5.Con.36.1,Child_5,Seroconverter,No Treatment,36,1,SR_20210128_ex37_p1.cnx,,,,,,,,,
S5.Con.36.2,Child_5,Seroconverter,No Treatment,36,2,SR_20210128_ex38_p1.cnx,,,,,,,,,
S5.Con.36.3,Child_5,Seroconverter,No Treatment,36,3,SR_20210128_ex39_p1.cnx,,,,,,,,,
S5.Con.48.1,Child_5,Seroconverter,No Treatment,48,1,SR_20210128_ex28_p1.cnx,,,,,,,,,
S5.Con.48.2,Child_5,Seroconverter,No Treatment,48,2,SR_20210128_ex2029_p1.cnx,,,,,,,,,
S5.Con.48.3,Child_5,Seroconverter,No Treatment,48,3,SR_20210128_ex30_p1.cnx,,,,,,,,,
S5.Con.60.1,Child_5,Seroconverter,No Treatment,60,1,SR_20210128_ex46_p1.cnx,,,,,,,,,
S5.Con.60.2,Child_5,Seroconverter,No Treatment,60,2,SR_20210128_ex47_p1.cnx,,,,,,,,,
S5.Con.60.3,Child_5,Seroconverter,No Treatment,60,3,SR_20210128_ex48_p1.cnx,,,,,,,,,
S5.pHMO.0.1,Child_5,Seroconverter,pHMOs,0,1,SR_20210128_ex7_p1.cnx,,,,,,,,,
S5.pHMO.0.2,Child_5,Seroconverter,pHMOs,0,2,SR_20210128_ex8_p1.cnx,,,,,,,,,
S5.pHMO.0.3,Child_5,Seroconverter,pHMOs,0,3,SR_20210128_ex9_p1.cnx,,,,,,,,,
S5.pHMO.12.1,Child_5,Seroconverter,pHMOs,12,1,SR_20210128_ex16_p1.cnx,,,,,,,,,
S5.pHMO.12.2,Child_5,Seroconverter,pHMOs,12,2,SR_20210128_ex17_p1.cnx,,,,,,,,,
S5.pHMO.12.3,Child_5,Seroconverter,pHMOs,12,3,SR_20210128_ex18_p1.cnx,,,,,,,,,
S5.pHMO.24.1,Child_5,Seroconverter,pHMOs,24,1,SR_20210128_ex25_p1.cnx,,,,,,,,,
S5.pHMO.24.2,Child_5,Seroconverter,pHMOs,24,2,SR_20210128_ex26_p1.cnx,,,,,,,,,
S5.pHMO.24.3,Child_5,Seroconverter,pHMOs,24,3,SR_20210128_ex27_p1.cnx,,,,,,,,,
S5.pHMO.36.1,Child_5,Seroconverter,pHMOs,36,1,SR_20210128_ex43_p1.cnx,,,,,,,,,
S5.pHMO.36.2,Child_5,Seroconverter,pHMOs,36,2,SR_20210128_ex44_p1.cnx,,,,,,,,,
S5.pHMO.36.3,Child_5,Seroconverter,pHMOs,36,3,SR_20210128_ex45_p1.cnx,,,,,,,,,
S5.pHMO.48.1,Child_5,Seroconverter,pHMOs,48,1,SR_20210128_ex34_p1.cnx,,,,,,,,,
S5.pHMO.48.2,Child_5,Seroconverter,pHMOs,48,2,SR_20210128_ex35_p1.cnx,,,,,,,,,
S5.pHMO.48.3,Child_5,Seroconverter,pHMOs,48,3,SR_20210128_ex36_p1.cnx,,,,,,,,,
S5.pHMO.60.1,Child_5,Seroconverter,pHMOs,60,1,SR_20210128-C_ex52_p1.cnx,,,,,,,,,
S5.pHMO.60.2,Child_5,Seroconverter,pHMOs,60,2,SR_20210128-C_ex53_p1.cnx,,,,,,,,,
S5.pHMO.60.3,Child_5,Seroconverter,pHMOs,60,3,SR_20210128-C_ex54_p1.cnx,,,,,,,,,
